Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,,5/31/2018 9:19 PM,11.747,0.1464,,12.324,0.1531,,13.283,0.1775,
,,blank,001-0202.D,Blank,,5/31/2018 9:39 PM,11.843,0.1462,,12.329,0.1530,,13.225,0.1768,
,,blank,001-0303.D,Blank,,5/31/2018 9:59 PM,11.807,0.1463,,12.460,0.1532,,13.190,0.1771,
,,blank,001-0404.D,Blank,,5/31/2018 10:19 PM,11.862,0.1463,,12.358,0.1530,,13.287,0.1768,
,,tag_mix,2AA-0501.D,Cal,2,5/31/2018 10:40 PM,11.797,0.2035,113.1,12.322,0.2207,110.4,12.322,0.2248,97.8
,!,tag_mix,2AB-0601.D,Cal,3,5/31/2018 11:00 PM,11.798,0.2611,96.7,12.323,0.2889,96.3,12.323,0.2758,79.9
,!,tag_mix,2AC-0701.D,Cal,4,5/31/2018 11:20 PM,11.799,0.4240,94.2,12.323,0.4726,94.5,12.323,0.4287,74.6
,!,tag_mix,2AD-0801.D,Cal,5,5/31/2018 11:41 PM,11.803,0.9160,101.8,12.326,1.0314,103.1,11.803,1.0471,91.1
,!,tag_mix,2AE-0901.D,Cal,6,6/1/2018 12:01 AM,11.802,1.3456,99.7,12.325,1.4816,98.8,11.802,1.7249,75.0
,!,tag_mix,2AF-1001.D,Cal,7,6/1/2018 12:21 AM,11.803,1.8002,100.0,12.328,2.0042,100.2,11.803,2.6237,152.1
,,blank,001-1105.D,Blank,,6/1/2018 12:42 AM,11.753,0.1463,,12.298,0.1530,,13.290,0.1787,
,!,0322-06,2CA-1201.D,Sample,,6/1/2018 1:02 AM,11.823,0.1726,,12.356,0.1531,,11.452,0.1990,
,!,0322-07,2CB-1301.D,Sample,,6/1/2018 1:22 AM,11.822,0.1581,,12.321,0.1530,,11.820,0.1846,
,!,0322-08,2CC-1401.D,Sample,,6/1/2018 1:43 AM,11.920,0.1464,,12.227,0.1531,,13.268,0.1812,
,!,0323-12,2CD-1501.D,Sample,,6/1/2018 2:03 AM,11.829,0.2005,,12.377,0.1534,,11.459,0.2231,
,!,0407-03,2CE-1601.D,Sample,,6/1/2018 2:23 AM,11.828,0.1711,,12.183,0.1533,,11.457,0.2047,
!,!,0323-15,2CF-1701.D,Sample,,6/1/2018 2:44 AM,,,,,,,,,
