Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,1,6/8/2018 10:43 AM,11.845,0.1635,,12.301,0.1573,,13.241,0.1826,
,,blank,001-0202.D,Blank,1,6/8/2018 11:03 AM,11.806,0.1635,,12.256,0.1574,,13.300,0.1830,
,,blank,001-0303.D,Blank,1,6/8/2018 11:24 AM,11.728,0.1635,,12.321,0.1573,,13.223,0.1823,
,,blank,001-0404.D,Blank,1,6/8/2018 11:44 AM,11.902,0.1635,,12.331,0.1573,,13.155,0.1831,
,!,tag_mix,2AA-0501.D,Cal,1,6/8/2018 12:04 PM,11.781,0.1641,154.8,12.310,0.1578,146.1,12.775,0.1830,150.0
,,tag_mix,2AB-0601.D,Cal,2,6/8/2018 12:25 PM,11.777,0.2581,97.4,12.305,0.2654,98.3,12.776,0.2978,97.6
,,tag_mix,2AC-0701.D,Cal,3,6/8/2018 12:45 PM,11.780,0.4653,87.8,12.310,0.4830,89.4,12.781,0.5406,88.6
,,tag_mix,2AD-0801.D,Cal,4,6/8/2018 1:05 PM,11.781,0.7360,92.6,12.309,0.7586,93.7,12.783,0.8558,93.5
,,tag_mix,2AE-0901.D,Cal,5,6/8/2018 1:26 PM,11.783,1.1325,106.8,12.311,1.1432,105.9,12.785,1.2948,106.1
,,blank,001-1005.D,Blank,1,6/8/2018 1:46 PM,11.765,0.1635,,12.357,0.1574,,13.276,0.1826,
,!,0330-06,2CA-1101.D,Sample,1,6/8/2018 2:06 PM,11.803,0.1952,,12.298,0.1573,,11.430,0.3330,
,!,0404-15,2CB-1201.D,Sample,1,6/8/2018 2:27 PM,11.800,0.2067,,12.338,0.1573,,11.026,0.5383,
,!,0404-16,2CC-1301.D,Sample,1,6/8/2018 2:47 PM,11.800,0.2444,,12.315,0.1573,,11.026,0.7491,
,!,0330-07,2CD-1401.D,Sample,1,6/8/2018 3:07 PM,11.799,0.2123,,12.311,0.1573,,11.428,0.3774,
,!,0419-01,2CE-1501.D,Sample,1,6/8/2018 3:28 PM,11.799,0.2221,,12.143,0.1579,,11.424,0.4441,
,!,0330-08,2CF-1601.D,Sample,1,6/8/2018 3:48 PM,11.799,0.2629,,12.154,0.1579,,11.428,0.3642,
,!,0330-01,2CG-1701.D,Sample,1,6/8/2018 4:08 PM,11.798,0.2201,,12.163,0.1576,,11.425,0.3593,
,!,0404-14,2CH-1801.D,Sample,1,6/8/2018 4:29 PM,11.797,0.2162,,12.344,0.1573,,11.025,0.8808,
,!,0425-04,2CI-1901.D,Sample,1,6/8/2018 4:49 PM,11.805,0.1782,,12.343,0.1573,,11.030,0.4887,
,!,0425-08,2DA-2001.D,Sample,1,6/8/2018 5:10 PM,11.802,0.2159,,12.327,0.1573,,11.029,0.9712,
,,blank,001-2101.D,Blank,1,6/8/2018 5:30 PM,11.758,0.1635,,12.356,0.1573,,13.118,0.1826,
,,qc,2AF-2201.D,QC,3,6/8/2018 5:50 PM,11.778,0.4871,91.9,12.306,0.5092,94.3,12.779,0.5685,93.2
